#node,Magenta Annotation
ABCF2,ATP binding cassette subfamily F member 2
PPA2,"Inorganic pyrophosphatase 2, mitochondrial; Hydrolyzes inorganic pyrophosphate. This activity is essential for correct regulation of mitochondrial membrane potential, and mitochondrial organization and function"
PPP1R8,Nuclear inhibitor of protein phosphatase 1; Inhibitor subunit of the major nuclear protein phosphatase-1 (PP-1). It has RNA-binding activity but does not cleave RNA and may target PP-1 to RNA-associated substrates. May also be involved in pre-mRNA splicing. Binds DNA and might act as a transcriptional repressor. Seems to be required for cell proliferation
PRC1,"Protein regulator of cytokinesis 1; Key regulator of cytokinesis that cross-links antiparrallel microtubules at an average distance of 35 nM. Essential for controlling the spatiotemporal formation of the midzone and successful cytokinesis. Required for KIF14 localization to the central spindle and midbody. Required to recruit PLK1 to the spindle. Stimulates PLK1 phosphorylation of RACGAP1 to allow recruitment of ECT2 to the central spindle. Acts as an oncogene for promoting bladder cancer cells proliferation, apoptosis inhibition and carcinogenic progression; Belongs to the MAP65/ASE1 family"
PRKAG1,"5'-AMP-activated protein kinase subunit gamma-1; AMP/ATP-binding subunit of AMP-activated protein kinase (AMPK), an energy sensor protein kinase that plays a key role in regulating cellular energy metabolism. In response to reduction of intracellular ATP levels, AMPK activates energy-producing pathways and inhibits energy-consuming processes: inhibits protein, carbohydrate and lipid biosynthesis, as well as cell growth and proliferation. AMPK acts via direct phosphorylation of metabolic enzymes, and by longer-term effects via phosphorylation of transcription regulators. Also acts as a  [...] "
PRR16,"Protein Largen; Regulator of cell size that promotes cell size increase independently of mTOR and Hippo signaling pathways. Acts by stimulating the translation of specific mRNAs, including those encoding proteins affecting mitochondrial functions. Increases mitochondrial mass and respiration"
PSMA1,"Proteasome subunit alpha type-1; Component of the 20S core proteasome complex involved in the proteolytic degradation of most intracellular proteins. This complex plays numerous essential roles within the cell by associating with different regulatory particles. Associated with two 19S regulatory particles, forms the 26S proteasome and thus participates in the ATP-dependent degradation of ubiquitinated proteins. The 26S proteasome plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins that could impair cellular functions, and by removing pro [...] "
PSMC2,"26S proteasome regulatory subunit 7; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair. PSMC2 belongs to the heterohexameric ring of AAA (ATPases associated with [...] "
PSMD10,"26S proteasome non-ATPase regulatory subunit 10; Acts as a chaperone during the assembly of the 26S proteasome, specifically of the PA700/19S regulatory complex (RC). In the initial step of the base subcomplex assembly is part of an intermediate PSMD10:PSMC4:PSMC5:PAAF1 module which probably assembles with a PSMD5:PSMC2:PSMC1:PSMD2 module. Independently of the proteasome, regulates EGF-induced AKT activation through inhibition of the RHOA/ROCK/PTEN pathway, leading to prolonged AKT activation. Plays an important role in RAS-induced tumorigenesis; Ankyrin repeat domain containing"
PSMD12,"26S proteasome non-ATPase regulatory subunit 12; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair; Belongs to the proteasome subunit p55 family"
PSMD14,"26S proteasome non-ATPase regulatory subunit 14; Component of the 26S proteasome, a multiprotein complex involved in the ATP-dependent degradation of ubiquitinated proteins. This complex plays a key role in the maintenance of protein homeostasis by removing misfolded or damaged proteins, which could impair cellular functions, and by removing proteins whose functions are no longer required. Therefore, the proteasome participates in numerous cellular processes, including cell cycle progression, apoptosis, or DNA damage repair. The PSMD14 subunit is a metalloprotease that specifically cle [...] "
PSMD6,"Proteasome 26S subunit, non-ATPase 6"
PSRC1,"Proline/serine-rich coiled-coil protein 1; Required for normal progression through mitosis. Required for normal congress of chromosomes at the metaphase plate, and for normal rate of chromosomal segregation during anaphase. Plays a role in the regulation of mitotic spindle dynamics. Increases the rate of turnover of microtubules on metaphase spindles, and contributes to the generation of normal tension across sister kinetochores. Recruits KIF2A and ANKRD53 to the mitotic spindle and spindle poles. May participate in p53/TP53-regulated growth suppression; Belongs to the PSRC1 family"
PTBP1,Polypyrimidine tract-binding protein 1; Plays a role in pre-mRNA splicing and in the regulation of alternative splicing events. Activates exon skipping of its own pre-mRNA during muscle cell differentiation. Binds to the polypyrimidine tract of introns. May promote RNA looping when bound to two separate polypyrimidine tracts in the same pre-mRNA. May promote the binding of U2 snRNP to pre-mRNA. Cooperates with RAVER1 to modulate switching between mutually exclusive exons during maturation of the TPM1 pre-mRNA. Represses the splicing of MAPT/Tau exon 10. In case of infection by picornav [...] 
PTCD3,"Pentatricopeptide repeat domain-containing protein 3, mitochondrial; Mitochondrial RNA-binding protein that has a role in mitochondrial translation"
PTDSS1,"Phosphatidylserine synthase 1; Catalyzes a base-exchange reaction in which the polar head group of phosphatidylethanolamine (PE) or phosphatidylcholine (PC) is replaced by L-serine. In membranes, PTDSS1 catalyzes mainly the conversion of phosphatidylcholine. Also converts, in vitro and to a lesser extent, phosphatidylethanolamine"
PTGES3,"Prostaglandin E synthase 3; Cytosolic prostaglandin synthase that catalyzes the oxidoreduction of prostaglandin endoperoxide H2 (PGH2) to prostaglandin E2 (PGE2). Molecular chaperone that localizes to genomic response elements in a hormone-dependent manner and disrupts receptor-mediated transcriptional activation, by promoting disassembly of transcriptional regulatory complexes. Facilitates HIF alpha proteins hydroxylation via interaction with EGLN1/PHD2, leading to recruit EGLN1/PHD2 to the HSP90 pathway"
PTTG1,"Securin; Regulatory protein, which plays a central role in chromosome stability, in the p53/TP53 pathway, and DNA repair. Probably acts by blocking the action of key proteins. During the mitosis, it blocks Separase/ESPL1 function, preventing the proteolysis of the cohesin complex and the subsequent segregation of the chromosomes. At the onset of anaphase, it is ubiquitinated, conducting to its destruction and to the liberation of ESPL1. Its function is however not limited to a blocking activity, since it is required to activate ESPL1. Negatively regulates the transcriptional activity a [...] "
PUS7,Pseudouridylate synthase 7
PWP1,Periodic tryptophan protein 1 homolog; May play an important role in cell growth and/or transcription; Belongs to the WD repeat PWP1 family
PWP2,"Periodic tryptophan protein 2 homolog; PWP2, small subunit processome component; UTPb subcomplex"
QSOX2,Sulfhydryl oxidase 2; Catalyzes the oxidation of sulfhydryl groups in peptide and protein thiols to disulfides with the reduction of oxygen to hydrogen peroxide. May contribute to disulfide bond formation in a variety of secreted proteins. Also seems to play a role in regulating the sensitization of neuroblastoma cells for interferon-gamma-induced apoptosis
RAB6B,Ras-related protein Rab-6B; Seems to have a role in retrograde membrane traffic at the level of the Golgi complex. May function in retrograde transport in neuronal cells; Belongs to the small GTPase superfamily. Rab family
RABIF,"Guanine nucleotide exchange factor MSS4; Guanine-nucleotide-releasing protein that acts on members of the SEC4/YPT1/RAB subfamily. Stimulates GDP release from both YPT1 and RAB3A, but is less active on these proteins than on the SEC4 protein. Might play a general role in vesicular transport; Belongs to the DSS4/MSS4 family"
RACGAP1,Rac GTPase-activating protein 1; Component of the centralspindlin complex that serves as a microtubule-dependent and Rho-mediated signaling required for the myosin contractile ring formation during the cell cycle cytokinesis. Required for proper attachment of the midbody to the cell membrane during cytokinesis. Plays key roles in controlling cell growth and differentiation of hematopoietic cells through mechanisms other than regulating Rac GTPase activity. Also involved in the regulation of growth-related processes in adipocytes and myoblasts. May be involved in regulating spermatogene [...] 
